Date,High,Low,Open,Close,Volume
2020-01-02,330.0 ,324.8 ,326.1 ,329.8 ,4485800
2020-01-03,329.9 ,325.5 ,326.8 ,325.9 ,3806900
2020-01-06,336.4 ,321.2 ,323.1 ,335.8 ,5663100
2020-01-07,336.7 ,330.3 ,336.5 ,330.8 ,4703200
2020-01-08,342.7 ,331.0 ,331.5 ,339.3 ,7104500
2020-01-09,343.4 ,334.6 ,342.0 ,335.7 ,4709300
2020-01-10,338.5 ,327.3 ,337.1 ,329.0 ,4718300
2020-01-13,340.9 ,331.5 ,331.8 ,338.9 ,6290000
2020-01-14,345.4 ,335.5 ,344.4 ,338.7 ,7199400
2020-01-15,343.2 ,336.6 ,338.7 ,339.1 ,5158000
2020-01-16,343.6 ,335.9 ,343.5 ,338.6 ,5016000
2020-01-17,341.6 ,337.4 ,341.0 ,339.7 ,6066500
2020-01-21,341.0 ,332.6 ,340.0 ,338.1 ,14350300
2020-01-22,336.3 ,323.6 ,332.5 ,326.0 ,21730000
2020-01-23,349.9 ,325.0 ,326.0 ,349.6 ,18200300
2020-01-24,359.9 ,345.9 ,348.5 ,353.2 ,17939700
2020-01-27,351.9 ,341.0 ,346.0 ,342.9 ,7709500
2020-01-28,352.4 ,342.8 ,345.9 ,348.5 ,6821600
2020-01-29,349.4 ,338.5 ,349.0 ,343.2 ,7643500
2020-01-30,348.2 ,339.3 ,341.1 ,347.7 ,5328100
2020-01-31,347.4 ,341.0 ,347.4 ,345.1 ,5230000
2020-02-03,359.6 ,346.3 ,347.2 ,358.0 ,6670600
2020-02-04,369.6 ,356.1 ,361.0 ,369.0 ,7161500
2020-02-05,375.3 ,362.3 ,375.1 ,369.7 ,6437000
2020-02-06,371.5 ,362.5 ,369.6 ,367.0 ,3920400
2020-02-07,371.8 ,363.6 ,365.0 ,366.8 ,4385200
2020-02-10,374.8 ,362.5 ,365.0 ,371.1 ,5294100
2020-02-11,378.1 ,369.7 ,373.8 ,373.7 ,4772900
2020-02-12,380.6 ,375.9 ,377.2 ,380.0 ,4624800
2020-02-13,385.4 ,376.5 ,377.0 ,381.4 ,4485400
2020-02-14,385.1 ,379.4 ,381.5 ,380.4 ,3736300
2020-02-18,389.5 ,379.2 ,379.3 ,387.8 ,5173900
2020-02-19,393.0 ,384.9 ,388.1 ,386.2 ,4896400
2020-02-20,389.7 ,376.7 ,386.6 ,386.0 ,4079400
2020-02-21,387.3 ,377.9 ,385.3 ,380.1 ,3930100
2020-02-24,372.8 ,361.0 ,364.8 ,368.7 ,6936400
2020-02-25,375.6 ,357.7 ,372.0 ,360.1 ,6481200
2020-02-26,382.0 ,365.0 ,366.3 ,379.2 ,8934100
2020-02-27,391.6 ,370.6 ,371.5 ,371.7 ,10967700
2020-02-28,376.8 ,356.8 ,364.2 ,369.0 ,11168600
2020-03-02,381.4 ,364.5 ,373.1 ,381.0 ,6997900
2020-03-03,393.5 ,367.4 ,381.0 ,368.8 ,8364600
2020-03-04,384.0 ,370.5 ,377.8 ,383.8 ,5487300
2020-03-05,391.4 ,368.6 ,381.0 ,372.8 ,8747000
2020-03-06,371.3 ,356.9 ,367.7 ,369.0 ,8147200
2020-03-09,357.5 ,341.7 ,343.9 ,346.5 ,7405500
2020-03-10,364.5 ,347.9 ,356.4 ,364.1 ,7604400
2020-03-11,363.0 ,344.8 ,358.9 ,349.9 ,6036000
2020-03-12,335.7 ,307.3 ,326.5 ,315.3 ,12071600
2020-03-13,336.4 ,307.4 ,330.5 ,336.3 ,9458200
2020-03-16,334.4 ,294.8 ,306.6 ,298.8 ,10559900
2020-03-17,322.9 ,290.3 ,306.2 ,319.8 ,10013900
2020-03-18,331.6 ,300.0 ,302.4 ,315.5 ,12593600
2020-03-19,348.5 ,316.8 ,324.3 ,332.0 ,10616000
2020-03-20,350.5 ,332.0 ,342.3 ,332.8 ,10853800
2020-03-23,366.1 ,340.9 ,347.9 ,360.3 ,13449400
2020-03-24,372.9 ,353.0 ,370.0 ,357.3 ,11638700
2020-03-25,362.0 ,339.2 ,361.0 ,342.4 ,8767200
2020-03-26,363.8 ,341.7 ,344.0 ,363.0 ,7229600
2020-03-27,368.6 ,353.0 ,359.1 ,357.1 ,7948800
2020-03-30,377.8 ,361.2 ,363.0 ,371.0 ,8622000
2020-03-31,383.0 ,366.4 ,367.9 ,375.5 ,9366500
2020-04-01,380.2 ,361.0 ,376.0 ,364.1 ,6672500
2020-04-02,371.0 ,360.1 ,364.1 ,370.1 ,4592500
2020-04-03,370.9 ,357.5 ,367.5 ,361.8 ,4860800
2020-04-06,380.3 ,361.7 ,365.2 ,380.0 ,8183900
2020-04-07,381.3 ,369.3 ,380.0 ,372.3 ,7046400
2020-04-08,378.4 ,368.3 ,374.0 ,371.1 ,6908900
2020-04-09,372.1 ,363.0 ,371.1 ,370.7 ,7711300
2020-04-13,400.5 ,367.7 ,371.3 ,396.7 ,11692900
2020-04-14,417.8 ,394.9 ,397.5 ,413.5 ,11581000
2020-04-15,435.0 ,412.3 ,413.0 ,426.8 ,13561200
2020-04-16,449.5 ,431.6 ,437.0 ,439.2 ,16128700
