,장애유형별,시도별,성별,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,시각,서울특별시,남자,26197,26040,25902,25709,25464,25320,25199,25004,24740,24622
1,시각,서울특별시,여자,16830,16691,16631,16494,16531,16580,16633,16620,16480,16369
2,시각,부산광역시,남자,11051,10993,10974,10969,10959,10863,10748,10666,10545,10485
3,시각,부산광역시,여자,7303,7271,7270,7272,7238,7271,7309,7357,7329,7255
4,시각,대구광역시,남자,7331,7321,7262,7235,7195,7155,7163,7097,7044,6980
5,시각,대구광역시,여자,4897,4918,4936,4918,4901,4912,4872,4864,4830,4808
6,시각,인천광역시,남자,8250,8251,8341,8385,8357,8317,8286,8262,8254,8286
7,시각,인천광역시,여자,5356,5375,5359,5383,5429,5439,5468,5465,5497,5514
8,시각,광주광역시,남자,4364,4334,4321,4303,4300,4347,4311,4276,4228,4207
9,시각,광주광역시,여자,2997,2978,2955,2963,2990,3009,3027,3014,2976,2939
10,시각,대전광역시,남자,4301,4304,4323,4318,4271,4236,4195,4175,4149,4104
11,시각,대전광역시,여자,2902,2895,2893,2885,2862,2844,2840,2821,2793,2801
12,시각,울산광역시,남자,2891,2917,2948,2924,2893,2892,2886,2869,2875,2834
13,시각,울산광역시,여자,2011,2032,2053,2047,2044,2026,2017,1992,1959,1956
14,시각,세종특별자치시,남자,417,472,547,583,627,686,735,746,766,775
15,시각,세종특별자치시,여자,294,333,370,402,426,438,447,449,451,465
16,시각,경기도,남자,30893,31096,31384,31692,31952,32491,32943,33222,33467,33597
17,시각,경기도,여자,19194,19301,19484,19790,20086,20497,20785,20990,21193,21319
18,시각,강원도,남자,5491,5435,5419,5416,5401,5376,5386,5389,5410,5401
19,시각,강원도,여자,4006,3998,3989,4034,4058,4039,4042,4045,4009,3995
20,시각,충청북도,남자,5256,5282,5318,5339,5342,5329,5303,5235,5215,5221
21,시각,충청북도,여자,3678,3670,3661,3644,3623,3664,3633,3628,3588,3572
22,시각,충청남도,남자,7191,7209,7198,7179,7200,7150,7141,7182,7232,7252
23,시각,충청남도,여자,4925,4919,4899,4879,4876,4902,4943,4899,4931,4894
24,시각,전라북도,남자,7014,6945,6881,6826,6765,6697,6606,6531,6515,6450
25,시각,전라북도,여자,5047,5031,4987,4946,4928,4886,4816,4725,4673,4608
26,시각,전라남도,남자,8270,8154,8075,7977,7913,7841,7777,7715,7578,7481
27,시각,전라남도,여자,6524,6454,6425,6361,6285,6237,6191,6131,6043,5931
28,시각,경상북도,남자,9689,9640,9514,9426,9269,9178,9133,8949,8916,8829
29,시각,경상북도,여자,7364,7323,7271,7174,7127,7056,7000,6879,6855,6783
30,시각,경상남도,남자,10125,10158,10184,10122,10120,10096,10096,10082,10065,10058
31,시각,경상남도,여자,6805,6826,6867,6929,6947,6958,6931,6903,6896,6879
32,시각,제주특별자치도,남자,2278,2292,2292,2349,2336,2341,2353,2337,2322,2327
33,시각,제주특별자치도,여자,1953,1967,1941,1921,1917,1884,1840,1805,1796,1770
