연번,시도,시군구,법인명,시설명,시설 주소,전화번호,팩스번호,이용자 정원,이용자 현원,종사자 정원
1,서울,종로구,서울가톨릭사회복지회,비둘기주간보호시설,"서울특별시 종로구 동숭4길 28, 2층",02-766-9026,02-766-9025,15,13,4
2,서울,종로구,하상복지재단,라파엘주간보호시설,서울특별시 종로구 필운대로9나길 15-4,02-739-7024,02-739-9624,10,10,3
3,서울,중구,영락사회복지재단,영락주간보호센터,서울특별시 중구 수표로33 영락교회 내 교육관 1층,02-2280-0278,02-2280-0289,15,10,5
4,서울,중구,서울농아인협회 중구지회,남산골주간보호센터 ,"서울특별시 중구 퇴계로20길 41-11, 3층",02-3789-3270,02-3789-3269,15,14,3
5,서울,중구,시각장애인여성회,여성시각장애인주간보호센터,서울 중구 소공로4길 15,02-318-1672,02-318-1488,10,10,3
6,서울,중구,사단법인 서울특별시시각장애인연합회 중구지회,시각장애인주간보호센터,서울특별시 중구 퇴계로20길 41-11,02-774-0085,02-774-2285,15,15,4
7,서울,중구,서울시지적발달장애인복지협회중구지부,파란마음주간보호센터,서울시 중구 청구로6길 20 효종빌딩 1층,02-2235-8708,02-2235-8708,15,15,4
8,서울,중구,사단법인 동행연우회,구립중림장애인주간보호센터,서울특별시 중구 서소문로 6길 16 별관2층,02-363-8765,02-363-4343,12,11,5
9,서울,용산구,청운보은동산,용산구립장애인주간보호센터,"서울특별시 용산구 한강대로 331, 3층(갈월동)",02-701-4282,02-701-0253,12,11,4
10,서울,용산구,한국농아인협회,서울시농아노인지원센터,"서울특별시 용산구 한강대로21길 17-7, 2층(한강로3가)",02-2632-3372,02-2632-3384,15,15,4
11,서울,용산구,서울가톨릭사회복지회,햇빛자리,"서울특별시 용산구 백범로47길 24, 101호(효창동)",02-719-3789,02-719-3778,10,10,4
12,서울,용산구,한벗재단,한벗장애인주간보호시설,"서울특별시 용산구 효창원로69길 42-3, 2층(효창동)",02-713-5050,02-712-6093,10,10,4
13,서울,성동구,성모성심수도회,성동주간보호센터,서울시 성동구 청계천로 506,02-2290-3141,02-2290-3181,13,11,4
14,서울,성동구,재단법인 성모성심수도회,성모주간보호센터,서울시 성동구 독서당로44길 25,02-2298-1120,02-2294-1120,12,15,5
15,서울,성동구,서울장애인부모연대,함께주간보호센터,"서울특별시 성동구 왕십리로 24나길20 6층,7층",02-6949-5030,02-6949-5096,12,12,4
16,서울,광진구,한국소아마비협회,정립회관 주간보호시설,"서울특별시 광진구 워커힐로93, 본관3층",02-446-1237,02-446-2144,15,11,3
17,서울,광진구,재단법인 대한예수교장로회(고신)총회유지재단,희망의학교,"서울특별시 광진구 천호대로 622 (능동, 시민교회 5층)",02-458-5599,070-4324-5599,18,18,4
18,서울,광진구,하나인의료소비자생협,하나인장애인주간보호센터,서울시 광진구 능동로 59길14,070-7727-2858,02-498-0123,10,10,4
19,서울,광진구,대한예수교장로회고신총회유지재단,희망하우스,"서울특별시 광진구 능동로34길 102-5 202호, 204호",02-452-5599,02-2201-6262,10,10,4
20,서울,동대문구,사단법인한국장애인선교단체총연합회,아름드리주간보호센터,"서울특별시 동대문구 한천로58길 107, 1층",02-957-0058,02-957-0068,10,11,4
21,서울,중랑구,유린보은동산,원광장애인주간보호시설,"서울특별시 중랑구 신내로56, 원광장애인종합복지관 5층 주간보호시설",070-7011-6786,02-438-2695,12,12,4
22,서울,강북구,조계종사회복지재단,강북장애인종합복지관 주간보호시설,"서울특별시 강북구 오현로 187-6, 3층",070-7754-8219,02-989-4211,12,12,5
23,서울,강북구,서울시장애인부모회,한마음주간보호시설,서울시 강북구 삼양로 432 3층,02-906-5009,02-906-5082,10,12,4
24,서울,강북구,서울가톨릭사회복지회,헬렌켈러의집 주간보호시설,"서울특별시 강북구 삼양로 80길7, 3층",02-6402-1791,02-982-1792,10,11,4
25,서울,강북구,너나울,참사랑너나울주간보호센터,"서울특별시 강북구 한천로 143길 39, 1층",02-908-0688,02-900-1312,10,12,4
26,서울,강북구,너나울,참사랑너나울주간보호센터2호,"서울특별시 강북구 한천로143길 39, 2층",02-904-0688,02-903-1314,10,12,4
27,서울,강북구,희망이음커뮤니티,이음주간교육센터,"서울특별시 강북구 한천로129길 11, 1층",02-955-1991,02-3494-1991,12,10,3
28,서울,도봉구,곰두리복지재단,그린도봉주간보호센터,서울시 도봉구 도봉로575 608호,02-956-5300,02-956-5302,12,12,4
29,서울,도봉구,개인,주바라기 해피홈,서울시 도봉구 도봉로169가길45,02-3492-9135,02-3493-9135,20,17,5
30,서울,도봉구,사회복지법인 대한예수교장로회총회(합동측)복지재단,지앤지주간보호센터,서울 도봉구 삼양로574-44 2층 ,02-998-2855,02-998-2854,15,12,5
31,서울,도봉구,개인,피어라희망센터,"서울특별시 도봉구 도봉로120길 16, 1층",02-6953-2501,02-908-9109,20,18,4
32,서울,도봉구,서울시장애인부모회,도봉주간보호센터,"서울시 도봉구 도당로 53, 2층",02-3494-5663,02-6499-3494,10,10,4
33,서울,도봉구,사회복지법인 인강재단,주간보호시설 인강원,서울시 도봉구 평화로15번길 9-25,070-5126-7660,02-6944-8119,15,12,4
34,서울,노원구,한국지체장애인협회,가브리엘주간보호센터,"서울특별시 노원구 한글비석로24라길 94-13, 2층 (상계동)",02-951-9907,,10,11,3
35,서울,노원구,청운보은동산,노원1장애인주간보호센터,"서울특별시 노원구 월계로 372, 노원1종합사회복지관 2층 (월계동)",02-949-0700,02-971-5300,14,10,4
36,서울,노원구,한국시각장애노인복지협회,노원시각장애인주간보호센터,서울특별시 노원구 상계로23길 42 (상계동),02-931-0889,02-931-0804,15,15,4
37,서울,노원구,다운회,다운주간보호센터,"서울특별시 노원구 화랑로 478, 다운복지관 1층 (공릉동)",02-3296-2114,02-3296-2113,15,15,4
38,서울,노원구,동천학원,동천발달장애인주간활동센터,"서울특별시 노원구 노원로18길 41, 동천학교 1층 (하계동)",02-976-0563,02-976-0561,25,16,4
