,소재지전화,소재지전체주소,사업장명,좌표정보(x),좌표정보(y),이용자 정원,이용자 현원,종사자 정원,이용률
0,---,부산광역시 북구 구포동 1157-1 구포지하철역,지하철역사(장애인총연합회),35.2044886149551,128.993367069433,15,13,4,86.67
1,---,경기도 용인시 기흥구 보정동 1097-8 지하 1층 식당입구,용인시 서북부 장애인복지회관,37.3152824192592,127.10573208314,10,10,3,100.0
2,---,경기도 용인시 수지구 상현동 839 상현1동사무소내,(사)장애인단체연합회,37.3047199406861,127.081346708696,15,10,5,66.67
3,031-334-3457,경기도 용인시 수지구 동천동 176-4 동천동 주민센터 내,(사)용인시 장애인단체연합회,37.3417821995093,127.09909222826,15,14,3,93.33
4,055-339-7181,경상남도 김해시 삼계동 32,김해시장애인종합복지관,35.263428334761,128.876276120501,10,10,3,100.0
5,063-241-4271,전라북도 전주시 덕진구 호성동2가 631-12,차량등록사업소 장애인자판기,35.8674091514287,127.14755353641,15,15,4,100.0
6,063-271-4271,전라북도 전주시 덕진구 송천동2가 492-36,송천동 농수산장애인자판기,35.8687150917347,127.117828776326,15,15,4,100.0
7,063-271-4271,전라북도 전주시 덕진구 진북동 416-12,덕진구청 장애인자판기,35.8293535217858,127.134513259374,12,11,5,91.67
8,041-852-9957,충청남도 공주시 봉황동 10,사)한국지체장애인협회충남공주시지회2호,36.4508847572612,127.122799175748,12,11,4,91.67
9,---,경기도 수원시 권선구 구운동 218-1,장애인자립원,37.2820520485503,126.967446651004,15,15,4,100.0
10,---,경기도 수원시 영통구 이의동 1088-13 수원시장애인종합복지관,수원시장애인 종합복지관,37.2956617232701,127.036170186063,10,10,4,100.0
11,022-237-2471,"서울특별시 중구 을지로6가 18-14 중구 구민회관 1층,3층",(사)서울지체장애인협회중구지회,37.5685637303537,127.006008861085,10,10,4,100.0
12,022-237-2471,서울특별시 중구 을지로6가 17-415 동화시장 3층,중구장애인협회,37.5686168392611,127.006919052527,13,11,4,84.62
13,023-667-7979,서울특별시 영등포구 영등포동2가 94-379,서울시립영등포장애인복지관,37.5207965305533,126.91286719975,12,15,5,125.0
14,031-465-0950,"경기도 안양시 만안구 안양동 477-1 평생교육센터,수리복지관,만안구청어린이집",안양시수리장애인종합복지관,37.3848893187371,126.927225312822,12,12,4,100.0
15,062-385-9040,광주광역시 서구 쌍촌동 1229 관리사무실 1층 앞,상무장애인자립지원센터,35.1470708462867,126.869676624056,15,11,3,73.33
16,052-229-7796,울산광역시 울주군 삼남읍 교동리 1499-166,울주군장애인복지관,35.5612514751093,129.125275827058,18,18,4,100.0
17,063-254-3305,전라북도 전주시 덕진구 덕진동1가 73-48,동물원체련공원주차장장애인자판기,35.8558548708981,127.144386904613,10,10,4,100.0
18,063-254-3305,전라북도 전주시 덕진구 덕진동1가 73-48,체련공원약수터장애인자판기,35.8558548708981,127.144386904613,10,10,4,100.0
19,---,전라북도 전주시 덕진구 덕진동1가 1314-4,덕진공원장애인자판기,35.8476694895554,127.121941572235,10,11,4,110.0
20,---,전라북도 전주시 덕진구 덕진동1가 1314-2,덕진공원정문장애인자판기,35.8474066921268,127.122906000222,12,12,4,100.0
21,---,전라북도 전주시 덕진구 덕진동1가 1220-1,종합경기장수의실앞장애인자판기,35.8394313882815,127.124736497702,12,12,5,100.0
22,063-543-4885,전라북도 김제시 서암동 514-1,사)한국교통장애인협회 김제시지회,35.8051078569295,126.871206445292,10,12,4,120.0
23,063-635-1544,전라북도 남원시 이백면 남계리 343-3,장애인복지관자판기,35.4526798399767,127.441758567623,10,11,4,110.0
24,063-240-4523,전라북도 완주군 삼례읍 삼례리 288,(사단법인)전북지체장애인협회완주자판기사업부완주군청소년수련,35.9178270557845,127.082750459277,10,12,4,120.0
25,-322-9414,전라북도 무주군 무주읍 읍내리 229-2 (1층),전북지체장애인협회 무주군지회,36.0070782563946,127.660770475487,10,12,4,120.0
26,-246-4060,전라북도 전주시 덕진구 산정동 877-3,쌈밥마을고기나라장애인자판기,35.8366014831209,127.170933031784,12,10,3,83.33
27,031-883-2100,경기도 여주시 하동 199-4,여주군장애인복지관,37.2995256945157,127.632369381827,12,12,4,100.0
28,---,광주광역시 북구 용봉동 239-2,장애인연합회,35.1743413833044,126.912255492007,20,17,5,85.0
29,052-294-1922,울산광역시 북구 진장동 282-1 농수산물종합유통센터,(사)울산장애인총연합회복지사업단,35.5790334736616,129.358116769758,15,12,5,80.0
30,---,경기도 수원시 장안구 하광교동 산 57-2,반딧불이자판기(사)한국교통장애인협회수원시지회,37.3018330422411,127.032338769953,20,18,4,90.0
31,064-756-4980,제주특별자치도 제주시 이도이동 1176-1,제주도지체장애인협회,33.4998056739686,126.53135203108,10,10,4,100.0
32,064-756-4980,제주특별자치도 제주시 연동 312-1 (문연로2),제주도지체장애인협회,33.4888985854354,126.498089693916,15,12,4,80.0
33,031-499-7060,경기도 시흥시 정왕동 1381-9 시흥시장애인보호작업장,시흥시장애인보호작업장,37.3231044223092,126.727170622716,10,11,3,110.0
