,개방서비스명,소재지전화,소재지전체주소,도로명전체주소,사업장명,좌표정보(x),좌표정보(y)
0,식품자동판매기업,-,부산광역시 북구 구포동 1157-1 구포지하철역,"부산광역시 북구 낙동대로 1697 (구포동, 구포지하철역)",지하철역사(장애인총연합회),35.2044886149551,128.993367069433
1,식품자동판매기업,-,경기도 용인시 기흥구 보정동 1097-8 지하 1층 식당입구,"경기도 용인시 기흥구 용구대로2469번길 94 (보정동, 지하 1층 식당입구)",용인시 서북부 장애인복지회관,37.3152824192592,127.10573208314
2,식품자동판매기업,-,경기도 용인시 수지구 상현동 839 상현1동사무소내,"경기도 용인시 수지구 상현로 71 (상현동,상현1동사무소내)",(사)장애인단체연합회,37.3047199406861,127.081346708696
3,식품자동판매기업,031 334 3457,경기도 용인시 수지구 동천동 176-4 동천동 주민센터 내,"경기도 용인시 수지구 신수로783번길 40 (동천동,동천동 주민센터 내)",(사)용인시 장애인단체연합회,37.3417821995093,127.09909222826
4,식품자동판매기업,055 339 7181,경상남도 김해시 삼계동 32,경상남도 김해시 삼계로 140 (삼계동),김해시장애인종합복지관,35.263428334761,128.876276120501
5,식품자동판매기업,063 2414271,전라북도 전주시 덕진구 호성동2가 631-12,전라북도 전주시 덕진구 완주로 6 (호성동2가),차량등록사업소 장애인자판기,35.8674091514287,127.14755353641
6,식품자동판매기업,063 2714271,전라북도 전주시 덕진구 송천동2가 492-36,-,송천동 농수산장애인자판기,35.8687150917347,127.117828776326
7,식품자동판매기업,063 2714271,전라북도 전주시 덕진구 진북동 416-12,전라북도 전주시 덕진구 벚꽃로 55 (진북동),덕진구청 장애인자판기,35.8293535217858,127.134513259374
8,식품자동판매기업,041 8529957,충청남도 공주시 봉황동 10,충청남도 공주시 제민1길 18 (봉황동),사)한국지체장애인협회충남공주시지회2호,36.4508847572612,127.122799175748
9,식품자동판매기업,-,경기도 수원시 권선구 구운동 218-1,경기도 수원시 권선구 서부로 1937 (구운동),장애인자립원,37.2820520485503,126.967446651004
10,식품자동판매기업,-,경기도 수원시 영통구 이의동 1088-13 수원시장애인종합복지관,"경기도 수원시 영통구 창룡대로 255, 수원시장애인종합복지관 1층 (이의동)",수원시장애인 종합복지관,37.2956617232701,127.036170186063
11,식품자동판매기업,0222372471,"서울특별시 중구 을지로6가 18-14 중구 구민회관 1층,3층","서울특별시 중구 을지로39길 40 (을지로6가, 중구 구민회관 1층,3층)",(사)서울지체장애인협회중구지회,37.5685637303537,127.006008861085
12,식품자동판매기업,02  22372471,서울특별시 중구 을지로6가 17-415 동화시장 3층,"서울특별시 중구 장충단로13길 34, 3층 (을지로6가, 동화시장)",중구장애인협회,37.5686168392611,127.006919052527
13,식품자동판매기업,0236677979,서울특별시 영등포구 영등포동2가 94-379,"서울특별시 영등포구 버드나루로 22, 1층 (영등포동2가, 서울시립영등포장애인복지관)",서울시립영등포장애인복지관,37.5207965305533,126.91286719975
14,식품자동판매기업,031 465 0950,"경기도 안양시 만안구 안양동 477-1 평생교육센터,수리복지관,만안구청어린이집","경기도 안양시 만안구 냉천로 39, 안양시수리장애인종합복지관 (안양동)",안양시수리장애인종합복지관,37.3848893187371,126.927225312822
15,식품자동판매기업,062 3859040,광주광역시 서구 쌍촌동 1229 관리사무실 1층 앞,"광주광역시 서구 쌍학로 43, 1층 (쌍촌동, 관리사무실 앞)",상무장애인자립지원센터,35.1470708462867,126.869676624056
16,식품자동판매기업,052 2297796,울산광역시 울주군 삼남읍 교동리 1499-166,울산광역시 울주군 삼남읍 중평1길 15,울주군장애인복지관,35.5612514751093,129.125275827058
17,식품자동판매기업,063 2543305,전라북도 전주시 덕진구 덕진동1가 73-48,전라북도 전주시 덕진구 소리로 68 (덕진동1가),동물원체련공원주차장장애인자판기,35.8558548708981,127.144386904613
18,식품자동판매기업,063 2543305,전라북도 전주시 덕진구 덕진동1가 73-48,전라북도 전주시 덕진구 소리로 68 (덕진동1가),체련공원약수터장애인자판기,35.8558548708981,127.144386904613
19,식품자동판매기업,-,전라북도 전주시 덕진구 덕진동1가 1314-4,전라북도 전주시 덕진구 권삼득로 390 (덕진동1가),덕진공원장애인자판기,35.8476694895554,127.121941572235
20,식품자동판매기업,-,전라북도 전주시 덕진구 덕진동1가 1314-2,-,덕진공원정문장애인자판기,35.8474066921268,127.122906000222
21,식품자동판매기업,-,전라북도 전주시 덕진구 덕진동1가 1220-1,전라북도 전주시 덕진구 기린대로 451 (덕진동1가),종합경기장수의실앞장애인자판기,35.8394313882815,127.124736497702
22,식품자동판매기업,063 543 4885,전라북도 김제시 서암동 514-1,전라북도 김제시 갈공길 32 (서암동),사)한국교통장애인협회 김제시지회,35.8051078569295,126.871206445292
23,식품자동판매기업,063 6351544,전라북도 남원시 이백면 남계리 343-3,전라북도 남원시 이백면 닭뫼안길 87,장애인복지관자판기,35.4526798399767,127.441758567623
24,식품자동판매기업,063 2404523,전라북도 완주군 삼례읍 삼례리 288,전라북도 완주군 삼례읍 삼봉로 125,(사단법인)전북지체장애인협회완주자판기사업부완주군청소년수련,35.9178270557845,127.082750459277
25,식품자동판매기업,3229414,전라북도 무주군 무주읍 읍내리 229-2 (1층),전라북도 무주군 무주읍 주계로 97 ((1층)),전북지체장애인협회 무주군지회,36.0070782563946,127.660770475487
26,식품자동판매기업,2464060,전라북도 전주시 덕진구 산정동 877-3,전라북도 전주시 덕진구 건산로 312 (산정동),쌈밥마을고기나라장애인자판기,35.8366014831209,127.170933031784
27,식품자동판매기업,031 883 2100,경기도 여주시 하동 199-4,경기도 여주시 청심로 105 (하동),여주군장애인복지관,37.2995256945157,127.632369381827
28,식품자동판매기업,-,광주광역시 북구 용봉동 239-2,광주광역시 북구 우치로 77 (용봉동),장애인연합회,35.1743413833044,126.912255492007
29,식품자동판매기업,052 2941922,울산광역시 북구 진장동 282-1 농수산물종합유통센터,"울산광역시 북구 진장유통로 90 (진장동,농수산물종합유통센터)",(사)울산장애인총연합회복지사업단,35.5790334736616,129.358116769758
